CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
320193,Apple Inc.,10-Q,2023-02-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000006.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000006-index.html,2023-02-03,2022-12-31,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,CA,CA,0930,320193_10Q_2022_0000320193-23-000006.htm
320193,Apple Inc.,8-K,2023-02-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000005.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000005-index.html,2023-02-02,2023-02-02,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000005/aapl-20230202.htm,CA,CA,0930,320193_8K_2023_0000320193-23-000005.htm
320193,Apple Inc.,8-K,2023-03-10,https://www.sec.gov/Archives/edgar/data/320193/0001140361-23-011192.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-23-011192-index.html,2023-03-10,2023-03-10,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036123011192/brhc10049413_8k.htm,CA,CA,0930,320193_8K_2023_0001140361-23-011192.htm
320193,Apple Inc.,10-Q,2023-05-05,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000064.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000064-index.html,2023-05-05,2023-04-01,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,CA,CA,0930,320193_10Q_2023_0000320193-23-000064.htm
320193,Apple Inc.,8-K,2023-05-04,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000063.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000063-index.html,2023-05-04,2023-05-04,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000063/aapl-20230504.htm,CA,CA,0930,320193_8K_2023_0000320193-23-000063.htm
320193,Apple Inc.,8-K,2023-05-10,https://www.sec.gov/Archives/edgar/data/320193/0001140361-23-023909.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-23-023909-index.html,2023-05-10,2023-05-08,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036123023909/ny20007635x4_8k.htm,CA,CA,0930,320193_8K_2023_0001140361-23-023909.htm
320193,Apple Inc.,10-Q,2023-08-04,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000077.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000077-index.html,2023-08-04,2023-07-01,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,CA,CA,0930,320193_10Q_2023_0000320193-23-000077.htm
320193,Apple Inc.,8-K,2023-08-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000075.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000075-index.html,2023-08-03,2023-08-03,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000075/aapl-20230803.htm,CA,CA,0930,320193_8K_2023_0000320193-23-000075.htm
320193,Apple Inc.,10-K,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000106.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000106-index.html,2023-11-03,2023-09-30,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,CA,CA,0930,320193_10K_2023_0000320193-23-000106.htm
320193,Apple Inc.,8-K,2023-11-02,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000104.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000104-index.html,2023-11-02,2023-11-02,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019323000104/aapl-20231102.htm,CA,CA,0930,320193_8K_2023_0000320193-23-000104.htm
